Dates,Microsoft,Google,Apple,Oracle,IBM,Nasdaq
08/06/2012,29.65,580.45,580.32,27.16,195.14,2559.21
07/06/2012,29.23,578.23,571.72,27.18,194.44,2535.41
06/06/2012,29.35,580.57,571.46,27.53,193.99,2546.32
05/06/2012,28.5,570.41,562.83,26.7,189.2,2487.5
04/06/2012,28.55,578.59,564.29,26.2,188.54,2478.13
01/06/2012,28.45,570.98,560.99,26,189.08,2458.83
31/05/2012,29.19,580.86,577.73,26.47,192.9,2524.87
30/05/2012,29.34,588.23,579.17,26.17,194.53,2537.4
29/05/2012,29.56,594.34,572.27,26.46,196.46,2558.97
25/05/2012,29.06,591.53,562.29,26.14,194.3,2527.05
24/05/2012,29.07,603.66,565.32,26.12,196.09,2531.35
23/05/2012,29.11,609.46,570.56,26.68,196.12,2547.08
22/05/2012,29.76,600.8,556.97,26.36,196.82,2539.2
21/05/2012,29.75,614.11,561.28,26.26,197.76,2545.43
18/05/2012,29.27,600.4,530.38,25.61,195.88,2478.53
17/05/2012,29.72,623.05,530.12,26.25,197.89,2509.05
16/05/2012,29.9,628.93,546.08,26.72,199.73,2561.56
15/05/2012,30.21,611.11,553.17,27.06,199.04,2580.75
14/05/2012,30.68,604,558.22,26.96,199.44,2590.28
11/05/2012,31.16,605.23,566.71,27,201.17,2615.98
10/05/2012,30.74,613.66,570.52,27.02,200.6,2616.24
09/05/2012,30.76,609.15,569.18,27.78,201.23,2621.35
08/05/2012,30.5,612.79,568.18,27.93,201.48,2629.87
07/05/2012,30.65,607.55,569.48,27.92,203.75,2639.28
04/05/2012,30.98,596.97,565.25,28.41,204.99,2637.92
03/05/2012,31.76,611.02,581.82,29.38,207.24,2704.59
02/05/2012,31.8,607.26,585.98,29.71,208.06,2734.77
01/05/2012,32.01,604.43,582.13,29.57,208,2726.92
30/04/2012,32.02,604.85,583.98,29.4,207.08,2723.68
27/04/2012,31.98,614.98,603,29.24,206.81,2741.34
26/04/2012,32.11,615.47,607.7,29.02,205.58,2725.23
25/04/2012,32.2,609.72,610,28.87,203.57,2709.62
24/04/2012,31.92,601.27,560.28,28.69,200,2638.73
23/04/2012,32.12,597.6,571.7,28.48,198.62,2653.5
20/04/2012,32.42,596.06,572.98,28.88,199.6,2676.04
19/04/2012,31.01,599.3,587.44,29.01,199.51,2686.82
18/04/2012,31.14,607.45,608.34,29.12,200.13,2716.14
17/04/2012,31.44,609.57,609.7,29.28,207.45,2723.58
16/04/2012,31.08,606.07,580.13,28.64,202.72,2670.1
13/04/2012,30.81,624.6,605.23,28.5,202.8,2698.99
12/04/2012,30.98,651.01,622.77,28.7,205.32,2740.26
11/04/2012,30.34,635.96,626.2,28.14,202.58,2708.13
10/04/2012,30.47,626.86,628.44,28.35,202.33,2695.12
09/04/2012,31.1,630.84,636.23,29.01,204.94,2739.98
05/04/2012,31.52,632.32,633.68,29.56,205.47,2762.5
04/04/2012,31.21,635.15,624.31,29.16,206.05,2745
03/04/2012,31.94,642.62,629.32,29.39,209.5,2782.78
02/04/2012,32.29,646.92,618.63,29.53,209.47,2784.42
30/03/2012,32.26,641.24,599.55,29.16,208.65,2755.27
29/03/2012,32.12,648.41,609.86,29.3,208.27,2762.05
28/03/2012,32.19,655.76,617.62,29.36,207.29,2770.97
27/03/2012,32.52,647.02,614.48,29.35,207.18,2782.12
26/03/2012,32.59,649.33,606.98,29.16,207.77,2778.02
23/03/2012,32.01,642.59,596.05,28.55,205.48,2728.55
22/03/2012,32,646.05,599.34,28.63,205.49,2731.5
21/03/2012,31.91,639.98,602.5,29.41,204.69,2736.88
20/03/2012,31.99,633.49,605.96,30.1,204.25,2737.63
19/03/2012,32.2,633.98,601.1,29.76,205.72,2733.26
16/03/2012,32.6,625.04,585.57,29.74,206.01,2712.78
15/03/2012,32.85,621.13,585.56,30.06,206,2714.79
14/03/2012,32.77,615.99,589.58,29.84,204.72,2708.41
13/03/2012,32.67,617.78,568.1,30.13,203.78,2697.43
12/03/2012,32.04,605.15,552,29.71,201,2646.85
09/03/2012,31.99,600.25,545.17,30.13,200.62,2646.85
08/03/2012,32.01,607.14,541.99,30.07,199.81,2637.18
07/03/2012,31.84,606.8,530.69,30.22,197.77,2607.85
06/03/2012,31.56,604.96,530.26,29.94,197.26,2588.95
05/03/2012,31.8,614.25,533.16,30.24,200.66,2614.92
02/03/2012,32.08,621.25,545.18,29.96,198.81,2641.58
01/03/2012,32.29,622.4,544.47,29.83,197.53,2643.54
29/02/2012,31.74,618.25,542.44,29.26,196.73,2623.1
28/02/2012,31.87,618.39,535.41,29.39,197.98,2633.46
27/02/2012,31.35,609.31,525.76,29.26,197.53,2606.76
24/02/2012,31.48,609.9,522.41,29.25,197.76,2604.21
23/02/2012,31.37,606.11,516.39,28.81,197.61,2594.93
22/02/2012,31.27,607.94,513.04,28.55,193.87,2579.78
21/02/2012,31.44,614,514.85,28.74,193.39,2590.24
17/02/2012,31.25,604.64,502.12,28.79,193.42,2584.24
16/02/2012,31.28,606.52,502.21,28.95,193.02,2592.29
15/02/2012,30.05,605.56,497.67,27.98,192.25,2556.01
14/02/2012,30.25,609.76,509.46,28.24,192.22,2575.24
13/02/2012,30.58,612.2,502.6,28.43,192.62,2569.49
10/02/2012,30.5,605.91,493.42,28.5,192.42,2547.32
09/02/2012,30.77,611.46,493.17,28.89,193.13,2563.93
08/02/2012,30.66,609.7,476.68,28.73,192.95,2545.72
07/02/2012,30.35,606.77,468.83,28.95,193.35,2532.06
06/02/2012,30.2,609.09,463.97,29,192.82,2528.3
03/02/2012,30.24,596.33,459.68,29.11,193.64,2529.17
02/02/2012,29.95,585.11,455.12,28.81,191.53,2495.83
01/02/2012,29.89,580.83,456.19,28.88,192.62,2488.18
31/01/2012,29.53,580.11,456.48,28.21,192.6,2467.95
30/01/2012,29.61,577.69,453.01,28.6,192.5,2465.32
27/01/2012,29.23,579.98,447.28,28.42,190.46,2461.77
26/01/2012,29.5,568.1,444.63,28.29,190.98,2454.63
25/01/2012,29.56,569.49,446.66,28.51,191.73,2465.66
24/01/2012,29.34,580.93,420.41,28.51,191.93,2433.96
23/01/2012,29.73,585.52,427.41,28.39,189.98,2437.22
20/01/2012,29.71,585.99,420.3,28.71,188.52,2437.02
19/01/2012,28.12,639.57,427.75,28.56,180.52,2441.7
18/01/2012,28.23,632.91,429.11,28.34,181.07,2425.96
17/01/2012,28.26,628.58,424.7,27.66,180,2393.24
13/01/2012,28.25,624.99,419.81,27.34,179.16,2371.98
12/01/2012,28,629.64,421.39,27.17,180.55,2381.99
11/01/2012,27.72,625.96,422.55,26.89,182.32,2372.25
10/01/2012,27.84,623.14,423.24,26.97,181.31,2367.38
09/01/2012,27.74,622.46,421.73,27.03,181.59,2350.65
06/01/2012,28.1,652.73,422.4,26.93,182.54,2356.17
05/01/2012,27.68,659.01,418.03,26.59,184.66,2348.98
